Datetime,KWH_ENERGIA
2024-09-01 00:00:00,-0.33704758
2024-09-01 01:00:00,-0.2931614
2024-09-01 02:00:00,-0.24556541
2024-09-01 03:00:00,-0.3028419
2024-09-01 04:00:00,-0.24288964
2024-09-01 05:00:00,-0.27219915
2024-09-01 06:00:00,-0.15925407
2024-09-01 07:00:00,-0.20170784
2024-09-01 08:00:00,0.0060198307
2024-09-01 09:00:00,4.2299767
2024-09-01 10:00:00,8.207846
2024-09-01 11:00:00,12.781092
2024-09-01 12:00:00,11.722157
2024-09-01 13:00:00,10.985081
2024-09-01 14:00:00,12.248602
2024-09-01 15:00:00,15.202217
2024-09-01 16:00:00,16.315083
2024-09-01 17:00:00,17.036158
2024-09-01 18:00:00,17.928972
2024-09-01 19:00:00,18.55572
2024-09-01 20:00:00,15.173449
2024-09-01 21:00:00,0.3584056
2024-09-01 22:00:00,0.2891903
2024-09-01 23:00:00,0.15483212
2024-09-02 00:00:00,-0.41035557
2024-09-02 01:00:00,-0.33644533
2024-09-02 02:00:00,-0.2639277
2024-09-02 03:00:00,-0.18321037
2024-09-02 04:00:00,-0.119436264
2024-09-02 05:00:00,-0.12117648
2024-09-02 06:00:00,-0.070865154
2024-09-02 07:00:00,-0.07551861
2024-09-02 08:00:00,-0.009202957
2024-09-02 09:00:00,5.920854
2024-09-02 10:00:00,33.19717
2024-09-02 11:00:00,69.54994
2024-09-02 12:00:00,102.871574
2024-09-02 13:00:00,122.178604
2024-09-02 14:00:00,124.08125
2024-09-02 15:00:00,115.34059
2024-09-02 16:00:00,114.25589
2024-09-02 17:00:00,106.81781
2024-09-02 18:00:00,89.76343
2024-09-02 19:00:00,53.564003
2024-09-02 20:00:00,21.573368
2024-09-02 21:00:00,0.4374187
2024-09-02 22:00:00,0.38433695
2024-09-02 23:00:00,0.35809612
2024-09-03 00:00:00,-0.33366346
2024-09-03 01:00:00,-0.2799654
2024-09-03 02:00:00,-0.2455585
2024-09-03 03:00:00,-0.24788928
2024-09-03 04:00:00,-0.20783949
2024-09-03 05:00:00,-0.16867065
2024-09-03 06:00:00,-0.081786156
2024-09-03 07:00:00,-0.08799744
2024-09-03 08:00:00,-0.020846367
2024-09-03 09:00:00,5.3586674
2024-09-03 10:00:00,30.546782
2024-09-03 11:00:00,73.1224
2024-09-03 12:00:00,106.912735
2024-09-03 13:00:00,124.72586
2024-09-03 14:00:00,127.447296
2024-09-03 15:00:00,115.73782
2024-09-03 16:00:00,105.752365
2024-09-03 17:00:00,95.92597
2024-09-03 18:00:00,76.903656
2024-09-03 19:00:00,41.407963
2024-09-03 20:00:00,19.47051
2024-09-03 21:00:00,0.42072308
2024-09-03 22:00:00,0.35518253
2024-09-03 23:00:00,0.30137622
2024-09-04 00:00:00,-0.3493228
2024-09-04 01:00:00,-0.385746
2024-09-04 02:00:00,-0.3189826
2024-09-04 03:00:00,-0.25185013
2024-09-04 04:00:00,-0.21201563
2024-09-04 05:00:00,-0.18055654
2024-09-04 06:00:00,-0.15018034
2024-09-04 07:00:00,-0.103005886
2024-09-04 08:00:00,-0.031718254
2024-09-04 09:00:00,5.422353
2024-09-04 10:00:00,31.880167
2024-09-04 11:00:00,74.153076
2024-09-04 12:00:00,103.92828
2024-09-04 13:00:00,122.87956
2024-09-04 14:00:00,121.44075
2024-09-04 15:00:00,109.56856
2024-09-04 16:00:00,106.172966
2024-09-04 17:00:00,101.2856
2024-09-04 18:00:00,82.57454
2024-09-04 19:00:00,41.93064
2024-09-04 20:00:00,15.596668
2024-09-04 21:00:00,0.30502713
2024-09-04 22:00:00,0.21497846
2024-09-04 23:00:00,0.16286111
2024-09-05 00:00:00,-0.4234004
2024-09-05 01:00:00,-0.3658843
2024-09-05 02:00:00,-0.29969597
2024-09-05 03:00:00,-0.2574625
2024-09-05 04:00:00,-0.22346377
2024-09-05 05:00:00,-0.19130468
2024-09-05 06:00:00,-0.08079243
2024-09-05 07:00:00,-0.032525778
2024-09-05 08:00:00,0.030588865
2024-09-05 09:00:00,7.61
2024-09-05 10:00:00,35.017986
2024-09-05 11:00:00,69.43297
2024-09-05 12:00:00,94.5666
2024-09-05 13:00:00,113.70909
2024-09-05 14:00:00,115.162285
2024-09-05 15:00:00,112.28027
2024-09-05 16:00:00,108.49888
2024-09-05 17:00:00,95.07177
2024-09-05 18:00:00,70.4684
2024-09-05 19:00:00,34.006588
2024-09-05 20:00:00,15.495985
2024-09-05 21:00:00,0.33604145
2024-09-05 22:00:00,0.28348744
2024-09-05 23:00:00,0.23512077
2024-09-06 00:00:00,-0.33561993
2024-09-06 01:00:00,-0.28560638
2024-09-06 02:00:00,-0.3101759
2024-09-06 03:00:00,-0.26207113
2024-09-06 04:00:00,-0.232553
2024-09-06 05:00:00,-0.15546942
2024-09-06 06:00:00,-0.17485619
2024-09-06 07:00:00,-0.12924957
2024-09-06 08:00:00,-0.06374717
2024-09-06 09:00:00,9.865355
2024-09-06 10:00:00,38.891468
2024-09-06 11:00:00,72.9644
2024-09-06 12:00:00,96.73361
2024-09-06 13:00:00,110.891525
2024-09-06 14:00:00,111.03421
2024-09-06 15:00:00,111.00973
2024-09-06 16:00:00,107.76123
2024-09-06 17:00:00,95.27965
2024-09-06 18:00:00,72.81942
2024-09-06 19:00:00,40.828335
2024-09-06 20:00:00,15.282282
2024-09-06 21:00:00,0.24466157
2024-09-06 22:00:00,0.15496302
2024-09-06 23:00:00,0.10236335
2024-09-07 00:00:00,-0.4159794
2024-09-07 01:00:00,-0.37541366
2024-09-07 02:00:00,-0.33059216
2024-09-07 03:00:00,-0.3065312
2024-09-07 04:00:00,-0.27960467
2024-09-07 05:00:00,-0.2533517
2024-09-07 06:00:00,-0.22785568
2024-09-07 07:00:00,-0.19359827
2024-09-07 08:00:00,-0.13689685
2024-09-07 09:00:00,6.249765
2024-09-07 10:00:00,25.971037
2024-09-07 11:00:00,26.635336
2024-09-07 12:00:00,23.371107
2024-09-07 13:00:00,22.803741
2024-09-07 14:00:00,22.502356
2024-09-07 15:00:00,24.337105
2024-09-07 16:00:00,22.17101
2024-09-07 17:00:00,17.46606
2024-09-07 18:00:00,18.087152
2024-09-07 19:00:00,17.538061
2024-09-07 20:00:00,12.235466
2024-09-07 21:00:00,0.22314394
2024-09-07 22:00:00,0.16720867
2024-09-07 23:00:00,0.124981165
2024-09-08 00:00:00,-0.5467529
2024-09-08 01:00:00,-0.50801563
2024-09-08 02:00:00,-0.46322894
2024-09-08 03:00:00,-0.41925907
2024-09-08 04:00:00,-0.38553
2024-09-08 05:00:00,-0.35591102
2024-09-08 06:00:00,-0.33187985
2024-09-08 07:00:00,-0.29716992
2024-09-08 08:00:00,-0.24249649
2024-09-08 09:00:00,5.751007
2024-09-08 10:00:00,12.803862
2024-09-08 11:00:00,14.268501
2024-09-08 12:00:00,13.149473
2024-09-08 13:00:00,13.230759
2024-09-08 14:00:00,14.26343
2024-09-08 15:00:00,15.498543
2024-09-08 16:00:00,16.429495
2024-09-08 17:00:00,17.163225
2024-09-08 18:00:00,17.968353
2024-09-08 19:00:00,18.61653
2024-09-08 20:00:00,14.500034
2024-09-08 21:00:00,0.1832323
2024-09-08 22:00:00,0.087120056
2024-09-08 23:00:00,0.037571907
2024-09-09 00:00:00,-0.41318727
2024-09-09 01:00:00,-0.36627054
2024-09-09 02:00:00,-0.31008887
2024-09-09 03:00:00,-0.24857283
2024-09-09 04:00:00,-0.20882416
2024-09-09 05:00:00,-0.17641306
2024-09-09 06:00:00,-0.14144015
